Acc x axis,Acc y axis,Acc z axis,Gyr x axis,Gyr y axis,Gyr z axis,Label
-9.844670296,-1.053141117,1.637288928,0.07070557,-0.199747056,-0.106745556,1
-9.471389771,-1.100997567,1.857428551,0.076814041,-0.362232417,-0.103080474,1
-9.380462646,-1.20867455,1.606182218,0.069483876,-0.287709057,-0.155613333,1
-9.892526627,-0.234795719,2.091925144,0.087809294,-0.171648085,-0.297329903,1
-9.892526627,-0.447756946,2.312064886,0.124460131,-0.20341213,-0.11163234,1
-10.05045319,-0.715753078,2.113460541,0.029167956,-0.26205346,-0.116519116,1
-9.483354568,-0.993320525,2.601596355,0.076814041,-0.241284668,-0.125070974,1
-10.69412231,-0.26590243,3.247658491,0.185544848,-0.478293389,-0.100637086,1
-10.18684387,-0.124725878,3.142374277,0.299162447,-0.875344098,0.195012987,1
-9.277571678,-0.880857825,2.268994093,0.290610582,-0.900999725,0.154697075,1
-9.330213547,-0.708574593,2.29052949,0.509293914,-0.401326656,-0.296108216,1
-11.04347515,0.684048176,3.00837636,0.651010454,0.026266431,-0.281447887,1
-10.63430214,0.363409936,3.580260992,0.749967694,-0.227846026,0.26464957,1
-10.0265255,-0.82582289,1.898106575,0.471421361,-0.391553104,0.279309899,1
-8.746364594,-1.701596022,2.300100803,-0.149199441,-0.53815645,0.548082709,1
-6.494719028,-2.718545675,3.809971809,-0.402090222,-0.794712305,0.715454876,1
-8.284550667,-1.986341953,5.803193092,-0.226166204,-0.60168457,0.57251662,1
-9.500103951,-1.558026671,4.836492538,0.224639073,-0.280378878,0.704459608,1
-11.52682495,-1.053141117,3.439084291,0.577708781,0.43553409,0.472337633,1
-10.50748253,0.832403183,3.510869026,0.26984179,0.324359894,0.661700308,1
-7.801199913,-0.270688057,4.310071945,-0.212727562,0.039705072,0.758214176,1
-7.463811874,0.212662116,3.793222189,-0.273812294,-0.06902574,0.593285382,1
-8.023732185,-0.40947178,2.24267292,-0.540141702,-0.067804046,0.620162666,1
-7.738986492,-0.143868461,3.065804005,-0.643985748,0.153322667,0.483332902,1
-6.544968128,-0.282652169,3.147160053,-0.73194772,0.113006741,0.322069228,1
-7.059424877,0.234197512,4.030111313,-0.713622332,0.326803297,-0.066429637,1
-7.621738434,0.657727122,3.221337557,-0.332453609,0.452637821,-0.368188173,1
-8.849256516,0.887438118,3.422334671,-0.444849521,0.690868258,-0.619857252,1
-11.7780714,1.267896891,4.929812908,-0.518151164,0.519831002,-0.313211918,1
-10.8927269,1.105184913,5.264808178,-0.00503949,0.648108959,0.119267926,1
-12.35713387,0.38973099,5.31027174,0.405449867,1.112352848,-0.490357637,1
-13.14437294,-2.670689106,-0.178863496,0.031611346,0.717745543,-0.43293801,1
-10.6797657,-4.190131664,1.350150228,-1.221847177,0.665212691,-0.365744799,1
-8.755936623,-2.634796858,5.200201988,-1.227955699,-0.281600595,-0.359636337,1
-7.107281685,-2.974577665,0.194416836,0.891684294,-0.156987742,-0.524565101,1
-7.284350395,-1.345065475,-0.092721879,0.268620074,0.46363306,-0.771347404,1
-9.090931892,-1.802094579,2.079961061,-0.013591352,0.439199179,-0.559994221,1
-10.08873844,-1.438385487,0.462412983,0.03771982,0.117893524,-0.298551589,1
-8.96889782,-2.467299223,0.56291151,-0.136982501,0.188751802,-0.348641068,1
-8.356334686,-2.309372902,1.582253933,-0.023364907,0.248614833,-0.694380641,1
-9.583852768,-2.07248354,1.24965167,0.074370652,0.22295925,-0.733474851,1
-9.390034676,-0.639182746,1.524826288,0.103691325,0.1007898,-0.270452619,1
-8.468797684,-1.038784146,0.699302435,0.075592346,0.072690822,-0.39017868,1
-9.119645119,-1.438385487,1.029511929,-0.254265159,-0.08490777,-0.349862754,1
-9.382855415,-2.18494606,0.826122046,-0.262817025,-0.189973503,-0.280226171,1
-9.923633575,-1.979163408,0.981655478,-0.304354638,-0.312142938,-0.156835034,1
-10.65344429,-2.115554333,1.359721422,-0.233496368,-0.243728057,-0.122627586,1
-10.56969547,-1.873879194,1.792822361,0.212422132,0.083686076,-0.344975978,1
-12.60838032,-0.622433007,3.230908871,0.781731784,0.348793775,-0.42560783,1
-12.55095291,-1.847558141,0.919442117,0.812274158,0.022601349,0.408809543,1
-9.710672379,-2.677867651,-0.391824722,0.249072969,-0.372005969,0.780204654,1
-10.14377308,-3.070290565,0.285344094,-0.234718055,-0.760504842,1.004996419,1
-9.248857498,-4.338486671,4.886742115,-0.606113195,-1.02316916,1.637834191,1
-9.062217712,-5.286044121,4.604389191,-0.259151936,-0.613901496,1.06119442,1
-9.021539688,-2.273480654,3.635295868,0.432327151,-0.249836534,0.521205425,1
-10.60080242,-1.203888893,0.37148571,0.256403148,-0.604127944,0.306187183,1
-10.42373371,-0.306580395,3.178266764,-0.348335654,-0.611458123,0.886492074,1
-6.86082077,-2.35962224,2.773879766,-0.505934238,-0.540599823,0.954907,1
-6.504290104,-2.594118834,2.446063042,-0.442406118,-0.491732031,0.771652818,1
-5.659623623,-2.474477768,1.529611826,-0.601226389,-0.313364655,0.429578334,1
-6.54018259,-1.866700768,2.575275421,-0.723395884,0.029931515,-0.048104223,1
-7.143173695,-0.627218664,4.374678135,-0.492495596,0.309699565,-0.353527844,1
-7.942376614,-0.198903382,3.764508247,-0.07711947,0.649330616,-0.610083699,1
-10.14616585,-0.186939269,3.664009571,-0.027029991,0.777608573,-0.672390103,1
-13.08455276,0.00209372,4.149752617,-0.187071979,0.598019481,-0.268009245,1
-11.89531994,-0.490827739,5.437091351,-0.237161443,0.406213433,0.065513365,1
-13.90050507,-0.806680322,5.173880577,0.201426879,0.930320382,-0.206924513,1
-11.25164986,-4.046562195,1.92203474,0.48241663,0.828919709,0.137593344,1
-8.47597599,-6.051747799,-0.037686955,-0.204175696,0.78249532,-0.243575349,1
-9.122037888,-2.211267233,5.013561726,-0.400868505,0.479515105,-0.551442385,1
-7.676773071,-2.431406975,-0.710070133,0.846481562,-0.077577598,-0.336424142,1
-7.64327383,-1.345065475,-0.956530869,-0.07345438,0.06902574,-0.32665056,1
-11.02911758,-1.773380637,1.333400369,0.095139459,0.514944255,-0.712706029,1
-9.619745255,-1.278066397,1.517647743,0.345586836,0.17531316,0.005650337,1
-8.712865829,-2.259123564,-0.212363005,0.197761804,-0.103233188,0.012980504,1
-9.459425926,-2.306980133,0.912263632,0.102469631,0.065360658,-0.243575349,1
-8.468797684,-2.565404892,1.244866014,0.057266932,-0.050700322,-0.195929259,1
-8.133802414,-1.804487348,0.328414917,0.023059484,-0.003054236,-0.308325142,1
-8.693722725,-1.268495083,0.936191857,0.130568609,0.295039237,-0.53556031,1
-9.4809618,-1.335494161,1.357328653,0.093917765,0.379336149,-0.574654579,1
-10.10548782,-1.292423368,1.47457695,0.140342161,0.253501624,-0.564881027,1
-10.11266708,-1.014855862,1.448255897,0.19043164,-0.048256934,-0.385291904,1
-11.08893871,-1.534098387,1.821536183,0.261289924,-0.045813546,-0.144618094,1
-10.93579769,-0.940678418,1.783251047,0.534949481,0.071469128,-0.134844527,1
-11.49811077,-1.108175993,2.132603168,0.792727053,0.152100965,-0.054212693,1
-12.66341591,-1.744666815,1.4267205,0.912453115,0.023823043,0.368493617,1
-11.11765194,-2.297408819,-1.095314622,0.487303406,-0.318251431,0.879161894,1
-9.212965012,-2.924328327,-0.01375873,-0.072232686,-0.744622827,0.950020194,1
-7.834699631,-4.936692238,2.96291256,-0.757603288,-1.178324342,1.176033735,1
-8.578866959,-4.934299469,3.518047571,-0.646429121,-0.84968853,0.636044681,1
-11.57946682,-3.541676521,4.594817638,0.213643834,-0.115450129,-0.173938751,1
-11.15593719,-0.483649284,1.658824325,0.801278889,-0.433090717,0.672695518,1
-9.543174744,-1.41685009,2.278565407,0.288167208,-0.393996477,0.928029716,1
-6.820142746,-2.101197481,2.111067772,-0.107661828,-0.450194418,0.941468358,1
-6.3343997,-1.785344839,2.300100803,-0.27869907,-0.425760537,0.638488114,1
-5.745765209,-1.962413669,1.733001828,-0.268925518,-0.188751802,0.340394646,1
-5.865406513,-1.469492197,2.742773056,-0.244491622,0.196081966,-0.257013977,1
-7.016354084,-0.474078,3.606581926,-0.221279413,0.422095448,-0.651621342,1
-9.14596653,0.310767829,4.817350388,0.151337415,0.590689301,-0.999804258,1
-12.05563831,-0.198903382,3.101696253,0.339478374,0.591911018,-0.944827974,1
-13.39322662,-0.87367934,2.101496458,-0.319014966,0.40010494,-0.242353648,1
-12.83809185,-1.024427176,7.494918823,-0.537698328,0.524717808,-0.09575031,1
-13.80239964,-3.256930828,3.74536562,-0.344670564,0.577250659,0.135149956,1
-7.640881062,-5.896214008,1.082154036,0.262511611,0.622453332,-0.189820781,1
-9.588638306,-3.716352701,2.821736097,-0.23105298,-0.114228435,-0.889851749,1
-9.454640388,-1.826022744,0.594018221,0.62046808,-0.029931515,-0.297329903,1
-7.061817646,-1.223031521,-0.820139945,0.267398387,0.087351158,-0.242353648,1
-7.057032108,-3.055933714,1.161117196,-0.116213694,0.320694804,-0.42560783,1
-10.46201897,-1.742274046,0.847657442,-0.039246935,0.314586341,-0.283891261,1
-9.940383911,-1.955235243,0.742373228,-0.016034741,0.145992488,0.009315421,1
-8.854042053,-2.948256493,0.361914426,0.068262182,0.141105711,0.014202199,1
-8.109873772,-2.850150824,0.96251291,-0.063680828,0.094681323,-0.170273677,1
-8.854042053,-1.780559182,1.063011408,-0.049020492,0.167982996,-0.453706801,1
-8.413763046,-0.758823872,0.689731121,-0.040468629,0.208298922,-0.428051203,1
-8.289336205,-1.148854017,0.503090978,-0.154086217,0.221737549,-0.421942741,1
-9.614959717,-1.452742457,0.893121064,-0.311684817,0.153322667,-0.485470861,1
-10.31844902,-1.141675472,1.429113269,-0.386208177,0.016492875,-0.282669574,1
-11.28993511,-1.141675472,1.386042476,-0.471726805,-0.287709057,0.297635317,1
-10.86640549,-2.249552488,1.63489604,-0.259151936,-0.279157192,0.460120708,1
-10.39501953,-1.502991676,2.491526604,0.079257429,-0.050700322,-0.243575349,1
-13.45783234,-0.411864609,3.02512598,0.271063477,-0.010384403,0.076508619,1
-12.35952759,-2.254338026,-0.662213683,0.152559102,-0.444085956,0.754549086,1
-10.48594666,-1.914557219,0.014955142,-0.036803547,-0.693311632,1.003774762,1
-8.363512993,-4.12073946,2.654238462,-0.027029991,-0.992626786,1.074633002,1
-8.148159027,-5.759823322,2.438884497,-0.328788549,-1.570488334,1.095401883,1
-9.27278614,-3.917349815,3.065804005,-0.548693538,-0.948645771,0.638488114,1
-11.95753288,-0.871286571,2.599203587,0.438435614,-0.397661567,0.447903752,1
-11.40957642,0.088235334,1.855035782,0.615581334,-0.544264913,0.935359836,1
-7.5954175,-2.146661043,2.032104731,-0.31779328,-0.671321154,1.217571259,1
-6.489933014,-2.362015009,2.379063845,-0.83457005,-0.529604554,0.849841237,1
-6.353542328,-2.476870537,2.355135679,-0.355665803,-0.242506355,0.620162666,1
-5.437091351,-2.216052771,2.240280151,-0.094223186,0.186308414,0.127819791,1
-6.265007973,-1.359422326,3.149552822,-0.151642829,0.406213433,-0.414612591,1
-8.107481003,0.382552534,4.802993298,0.029167956,0.606571317,-0.927724302,1
-11.24207878,0.995115101,4.295714855,0.395676315,0.859462082,-1.005912781,1
-12.29252815,-0.148654103,1.845464468,0.141563848,0.808150947,-0.513569832,1
-11.06979561,-0.002691926,5.992226124,-0.538919985,0.547930002,-0.018783553,1
-16.53021622,-0.507577479,4.417748928,-0.158972993,0.976744771,-0.202037737,1
